Applicant Name,Date Screened by Fiber Consultant ,State,Applicant Type,Address ,FCC Form 470 Number,Lit/Dark/Self,Estimated Special construction ,Odds,Num,Overview,Interactions with USAC 
Los Lunas School District ,10/31/16,NM,School District ,"119 LUNA AVELOS LUNAS,  NM 87031",170049063,Leased dark fiber vs. leased lit service vs. self provisioning ,"$700,000.00",Likely,11,Bidding a 12 site (11 schools and 1 hub) WAN,10/31-Used State of NM RFP which is comprehensive; edited last funding year.
Gallup-McKinley School Distirct ,11/9/16,NM,School District ,"640 BOARDMAN DR, P O BOX 1318GALLUP, MCKINLEY, NM 87305",170049653,Leased dark fiber vs. leased lit service vs. self provisioning ,"$1,500,000.00",Likely,2,Bidding a district WAN portion between two locations that are 90+ miles apart ,11/3-Wrote about equipment; note that wireless is also an option.  11/10 - Refile
Albuquerque Public Schools,11/21/16,NM,School District ,"6400 UPTOWN BLVD NE SUITE 550E ALBUQUERQUE, BERNALILLO, NM 87110-0704",170050411,Leased dark fiber vs. leased lit service vs. self provisioning ,"$8,000,000.00",Likely ,89,District WAN for an 89 school district.  The district has an expiring contract with a leased lit fiber provider--there is current fiber to all schools.  Determination on contract will be made based on cost effectiveness of solutions over time.,11/24-Lots of interface with this applicant before filing.  Cat1 Network Equipment is part of the bid.
Lincoln County School District ,12/7/16,NV,School District ,"1191 EDWARDS STREET; PO BOX 118PANACA, LINCOLN, NV 89042",170052441,Leased dark fiber vs. leased lit service ,"$10,000.00",Unlikely ,,Looks like category2-Connection to a band building on the same  campus,12/7 asked if it was afililated with the school.  Appears to be Cat2
Amherst Central School District ,1/18/17,NY ,School District ,"55 KINGS HWYAMHERST, ERIE, NY 14226",170058717,Fiber Maintenance and Operations ,$0.00,likely,5,"5 location WAN, existing fiber network ",1/18 - confirmed receipt 
OPPENHEIM-EPHRATAH-ST JOHNSVILLE CENTRAL SCH DIST,11/28/16,NY ,School District ,"6486 STATE HIGHWAY 29ST. JOHNSVILLE, FULTON, NY 13452",170051624,Transport Only-No ISP Service Included  ,"$30,000.00",Likely,1,Short WAN run between two schools,11/29-Did not bid equipment; narrative outlines Transport Only-No ISP Service Included  includes dark fiber 2/1 This was before the guidance.
OPPENHEIM-EPHRATAH-ST JOHNSVILLE CENTRAL SCH DIST,3/27/17,NY ,School District ,"6486 STATE HIGHWAY 29ST. JOHNSVILLE, FULTON, NY 13452",170075458,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Category1 network equipment ","$30,000.00",Likely,1,Short WAN run between two schools,11/29-Did not bid equipment; narrative outlines Transport Only-No ISP Service Included  includes dark fiber 2/1 This was before the guidance.3/27 refiled with correct options per 3/3 USAC SLD News Brief 
LORAIN CITY SCHOOL DISTRICT,3/11/17,OH,School District ,"2350 POLE AVELORAIN, LORAIN, OH 44052-4300",170071646,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Category1 network equipment ","$450,000.00",Likely,15,15 location WAN ,3/9 confirmed receipt ; 3/11 refile on 3/10
LAKEVIEW LOCAL SCHOOLS,3/5/17,OH,School District ,"300 HILLMAN DRCORTLAND, TRUMBULL, OH 44410-1562",170070097,"Self Provisioning, Transport Only-No ISP Service Included   (100 mbps-1G), Category1 Network Equipment ","$100,000.00",Likely,2,2 locations WAN ,1/19 did not bid Transport Only-No ISP Service Included  or equipment.  Wrote applicant. 3/5 refiled correctly
Reading Community School District ,3/9/17,OH,School District ,"1301 BONNELL STREETREADING, HAMILTON, OH 45215",170067887,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included (10-25 G), Category 1 network equipment ","$150,000.00",Likely,3,3 location WAN ,2/11 - Previewed RFP; 3/9 refiled with SLA standards
Lisbon Exempted Village School Distirct ,4/7/17,OH,School District ,"317 N MARKET STLISBON, COLUMBIANA, OH 44432",170079905,"Self Provisioning, Leased Lit Fiber (100 mbps-25G), Leased Dark Fiber,Transport Only-No ISP Service Included (100 mbps-25G)","$60,000.00",Likely,3,3 location WAN ,3/24 confirmed receipt; Applicant bid Transport Only for same connections on FCC Form 470 170061942; 4/7 applicant refiled to bid all options on one FCC Form 470
MADEIRA CITY SCHOOL DISTRICT,1/27/17,OH,School District ,"7465 LOANNES DRCINCINNATI, HAMILTON, OH 45243-1851",170062108,Maintenance and Operations for existing leased dark fiber network ,$0.00,Likely,3,3 locations WAN ,1/27- confirmed receipt
MADEIRA CITY SCHOOL DISTRICT,1/20/17,OH,School District ,"7465 LOANNES DRCINCINNATI, HAMILTON, OH 45243-1851",170060118,"Leased Dark Fiber, Leased Lit Fiber (300 mbps-10G)","$60,000.00",Likely ,3,3 School WAN ,1/20 - Confirmed Receipt.  Asked about equipment 
Ridgewood Local School District ,3/8/17,OH,School District ,"301 SOUTH OAK STREETWEST LAFAYETTE, COSHOCTON, OH 43845",170070250,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included (1-10G), Category 1 Network Equipment ","$125,000.00",Likely,4,4 location WAN ,3/7- Wrote about transport option 3/8 refiled.
Steubenville City Schools ,12/5/16,OH,School District ,"1400 WEST ADAMS STREETSTEUBENVILLE, JEFFERSON, OH 43952",170052650,Leased dark fiber vs. leased lit service vs. self provisioning ,"$75,000.00",Likely,5,5 site school WAN.,12/5-did not bid correctly.  Had leased dark fiber in RFP but not on FCC Form 470. Informed applicant about this and equipment.  12/6-Refiled
Mayfield School District ,2/2/17,OH,School District ,"1101 S.O.M. CENTER ROADMAYFIELD HEIGHTS, CUYAHOGA, OH 44124",170063526,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Category1 Network Equipment ","$120,000.00",Likely,6,6 location WAN,2/2-Confirmed receipt 
SPRINGBORO COMM CITY SCH DIST,2/11/17,OH,School District ,"1685 S MAIN STREETSPRINGBORO, WARREN, OH 45066-1104",170065104,Maintenance and Operations,$0.00,Likely,6,6 location WAN,2/11-Confirmed receipt 
BRECKSVILLE-BROADVIEW HTS DIST,1/25/17,OH,School District ,"6638 MILL RDBRECKSVILLE, CUYAHOGA, OH 44141-1512",170061750,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Category1 Network Equipment, ","$120,000.00",Likely ,6,6 school WAN,1/25-confirmed receipt 
STRONGSVILLE CITY SCHOOL DIST,2/4/17,OH,School District ,"13200 PEARL RDSTRONGSVILLE, CUYAHOGA, OH 44136-3402",170064157,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Category 1 Network equipment ","$100,000.00",Likely,7,7 location WAN,2/4 confirmed receipt 
SYCAMORE COMM SCHOOL DISTRICT,1/25/17,OH,School District ,"5959 HAGEWA DRIVECINCINNATI, HAMILTON, OH 45242-6902",170057603,Maintenance and Operations for existing leased dark fiber network ,$0.00,Likely ,7,7 school WAN ,1/25- confirmed receipt 
CLAYMONT CITY SCHOOL DISTRICT,1/27/17,OH,School District ,"201 N. 3RD. STREETDENNISON, TUSCARAWAS, OH 44621",170062262,Category1 Network Equipment ,"$140,000.00",Unlikely,7,7 school WAN ,1/25 bid wrong options; did not bid equipment on the FCC Form 470 but need only equipment according to the RFP
BEAVERCREEK SCHOOL DISTRICT,2/8/17,OH,School District ,"3040 KEMP ROADBEAVERCREEK, GREENE, OH 45431-2644",170064824,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Bundled (DIA) (1-10G)","$220,000.00",Likely,9,9 location WAN and then conenction to a PoP,2/6- asked about equipment ; 2/8 refiled to add detail
Cuyahoga Heights Schools ,11/20/16,OH,School District ,"4820 East 71st StreetCuyahoga Heights, OH 44125",170052096,Leased dark fiber vs. leased lit service vs. self provisioning ,"$20,000.00",Unlikely ,1,Short fiber run across a parkting lot between two different instructional facilities ,11/21-Wrote applicant about Cat1 and Cat2 -- this is a mixed project applicantion and the applicant filed incorrectly. 12/1 - Refiled correctly
Newcomerstown School District ,12/22/16,OH,School District ,"702 S RIVER STNEWCOMERSTOWN, TUSCARAWAS, OH 43832-1450",170056195,"Self Provisioning ; Transport Only-No ISP Service Included  (1-10G), Category1 Network Equipment ","$50,000.00",Likely,1,WAN Connection between 2 schools,"12/21- Wrong bid mix, did not honor the 28 day bid window, did not address Cat1 network equipment.  Reached out with help. 12/22 refile complete"
Durant Independent School Distirct ,12/10/16,OK,School District ,"1323 WACO STREETDURANT, BRYAN, OK 74701",170053688,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included  (500 mbps-5G)","$250,000.00",Likely,10,10 location WAN,12/10- wrote about equipment 
Jenks ISD ,12/7/16,OK,School District ,"205 E B STJENKS, TULSA, OK 74037-3900",170052986,Transport Only-No ISP Service Included  ,"$500,000.00",Likely,17,17 school district -- building aWAN,12/7-confirmed receipt.  2/1 This was before the guidance.
ELK CITY INDEP SCHOOL DIST 6,2/22/17,OK,School District ,"222 W BROADWAY AVEELK CITY, BECKHAM, OK 73644-4742", ,"Self Provisioning, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (1-10G)","$75,000.00",Unlikely,2,2 location WAN,2/10 did not bid transport; did not bid equipment 
WESTERN TECHNOLOGY CENTER,3/11/17,OK,School District ,"621 SOONER DRBURNS FLAT, WASHITA, OK 73624",170071769,Category1 Network Equipment ,$0.00,Likely,2,2 location WAN ,3/11-confirmed receipt 
Agra Independent School District ,11/22/16,OK,School District ,"112 S MAINAGRA, LINCOLN, OK 74824",170051100,Leased dark fiber vs. leased lit service ,"$30,000.00",Likely ,2,2 school WAN,11/12- Equipment not bid and general tips. 11/24 - Refiled with equipment.
Erick Independent School District ,11/22/16,OK,School District ,"325 S. PINE STREET ERICK, BECKHAM, OK 73645",170051199,Leased dark fiber vs. leased lit service ,"$60,000.00",Likely,2,2 short WAN runs,11/24-made contact with filing consultant to ask about equipment 
KINGSTON INDEP SCHOOL DIST,1/27/17,OK,School District ,"400 EAST THIRD STREETKINGSTON, MARSHALL, OK 73439",170062396,"Leased Dark Fiber, Leased Lit Fiber (10G)","$60,000.00",Likely,3,3 location WAN ,1/27 - confirmed receipt; asked about equipment 
HASKELL INDEP SCHOOL DIST 2,1/31/17,OK,School District ,"900 N OHIOHASKELL, MUSKOGEE, OK 74436",170049852,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10 mbps-5G), Transport Only-No ISP Service Included  (10 mbps-5G), Category1 Network Equipment, Bundled (DIA) (10 mbps-5G)","$150,000.00",Likely,6,6 location WAN,1/31- Confirmed receipt 
Stillwater independent School District ,12/10/16,OK,School District ,"314 S LEWIS STSTILLWATER, PAYNE, OK 74074",170051057,"Leased Lit Fiber (10 mpbs-2G), Transport Only-No ISP Service Included  (10 mbps-2G), ISP (1-2G)","$250,000.00",Unlikely,9,9 location WAN- looks more likely to get leased lit service bids.,12/10 - no corrections to RFP- experienced applicant consultant 
Harmony School District ,11/29/16,OK,School District ,"4926 SOUTH BENTLEY ROADATOKA, ATOKA, OK 74525-4664",170051221,Leased dark fiber vs. leased lit service ,"$50,000.00",Likely ,3,Bidding 3 location WAN ,10/28-Wrote about terminology ; 11/29 Refiled
Lone Grove Independent School District ,10/21/16,OK,School District ,"PO BOX 1330, 16841 US HWY 70LONE GROVE, CARTER, OK 73443",170048291,Leased dark fiber vs. leased lit service,"$50,000.00",Likely ,1,Leased dark fiber from hub to a school location not served by a fiber based service ,10/21-One strand lease which is atypical
Jackson County School District ,1/21/17,OR,School District ,"11 N ROYAL, PO BOX 548EAGLE POINT, JACKSON, OR 97524",170060570,"Transport Only-No ISP Service Included  (1-10G), Bundled (DIA) (1-10G)","$260,000.00",Unlikely,13,13 location WAN,1/21 - applicant expressed an interest for leased dark fiber in the narrative but only bid Transport Only-No ISP Service Included  and Internet Access:  Bundled.  Wrote applicant with corrections
NEWBERG SCHOOL DISTRICT 29 J T,2/18/17,OR,School District ,"714 E 6TH STNEWBERG, YAMHILL, OR 97132-3406",170060420,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Category1 Network Equipment; Bundled (DIA) (1-5G)","$50,000.00",Likely,2,2 location WAN ,2/18 confirmed receipt 
Hillsboro School District 1J,3/14/17,OR,School District ,"3083 NE 49TH PLACEHILLSBORO, OR 97124-6009",170072221,"Self Provisioning, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included  (10-25G)","$75,000.00",Likely,3,3 locations back to the core fiber network ,3/11-Confirmed receipt ; 3/14Refiled
LaGrande School District 1,11/28/16,OR,School District ,"1305 NORTH WILLOW STREETLA GRANDE, UNION, OR 97850",170047043,Leased dark fiber vs. leased lit service ,"$600,000.00",Likely,4,4 school WAN and a connection to ISP interconnection point ,11/29-Wrote about equipment 
Region 18 ESD,10/24/16,OR,School District ,"107 SW FIRST ST. #105ENTERPRISE, WALLOWA, OR 97828",170048623,Leased dark fiber vs. leased lit service vs. self provisioning ,"$100,000.00",Likely ,,Bidding all three options for a district WAN back to the hub,10/24 - general clean up in language and asked about network equipment and maintenance and operations 
CHEHALIS SCHOOL DISTRICT 302,1/26/17,OR,School District ,"310 SW 16TH STCHEHALIS, LEWIS, WA 98532-3809",170059872,Category1 Network Equipment ,$0.00,Likely,6,Network Equipment for existing network ,1/26 - titled the network equipment category2-so clarified the applicant
MOUNTAIN VIEW SCHOOL DISTRICT,2/12/17,PA,School District ,"11748 STATE ROUTE 106KINGSLEY, SUSQUEHANNA, PA 18826-9778",170065605,"Leased Dark Fiber, Leased Lit Fiber (10-25G)","$25,000.00",Likely,2,2 location WAN,2/10 did not bid comparative lit fiber service option - only mentioned in FCC form 470 narrative.  Instructed to refile. 2/12 Refiled 
HARBOR CREEK SCHOOL DISTRICT,1/21/17,PA,School District ,"6375 BUFFALO RDHARBORCREEK, ERIE, PA 16421-1632",170058252,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Bundled (DIA) (500 mbps-1G)","$60,000.00",Likely,3,3 locations WAN ,"1/21-Confirmed receipt, wrote about equipment "
Southmoreland School District,1/5/17,PA,School District ,"100 SCOTTIE WAYSCOTTDALE, WESTMORELAND, PA 15683-1026",170057881,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Category 1 Network Equipment ","$120,000.00",Likely,4,4 location WAN,1/5 confirmed receipt; Specifications for leased lit and leased dark are not the same.  Wrote applicant.
NORTHAMPTON AREA SCHOOL DISTRICT,12/23/16,PA,School District ,"2014 LAUBACH AVENORTHAMPTON, NORTHAMPTON, PA 18067",170056422,Leased Dark Fiber vs. Leased Lit Fiber (1-10G),"$50,000.00",Likely,5,5 locations WAN,12/23-Wrote about equipment 
ARMSTRONG SCHOOL DISTRICT,1/10/17,PA,School District ,"181 HERITAGE PARK DRIVE SUITE 2KITTANNING, ARMSTRONG, PA 16201",170057439,"Leased Dark Fiber, Leased Lit Fiber (1-10G) ","$160,000.00",Unlikely,8,8 school district WAN,1/10 RFP describes fully managed lit service.  Wrote to confirm what applicant wanted 
TREDYFFRIN-EASTTOWN SCHOOL DISTRICT,1/3/17,PA,School District ,"940 W VALLEY ROADWAYNE, CHESTER, PA 19087",170050813,Self provisioning ,"$25,000.00",Unlikely,,Applicant needs only make ready equipment for pole attachements for a district WAN ,1/4 filed for self provisioning only-- the applicant only needs certain pole attachment equipment.  They need to bid the comparative service.  Wrote the applicant and copied the state E-rate Coordinator.
Reading School District ,7/1/16,PA,School District ,"800 WASHINGTON STREETREADING, BERKS, PA 19601-3616",170046681,Leased dark fiber vs. leased lit service ,"$500,000.00",Likely ,19,Leased dark fiber in a fiber rich area.  Replacing lease of aged dark fiber.,6/27 - Reviewed and commented on RFP.
Reading School District ,2/3/17,PA,School District ,"800 WASHINGTON STREETREADING, BERKS, PA 19601-3616",170063991,Leased dark fiber vs. leased lit service (10G) vs. Transport Only-No ISP Service Included  (10G) ,$0.00,Likely ,,Leased dark fiber in a fiber rich area.  Replacing lease of aged dark fiber.,2/3-temporary MTM service while permanent new service is built
Reading School District ,9/19/16,PA,School District ,"800 WASHINGTON STREETREADING, BERKS, PA 19601-3616",170047255,Leased dark fiber vs. leased lit service ,$0.00,Likely ,,Month to month leased dark fiber vs. leased lit service.  This is an interim proposal to cover the district while possible new fiber for leased lit service or leased dark fiber is installed.,9/17 - Corresponded with consultant
West Chester Area District ,1/24/17,PA ,School District ,"829 PAOLI PIKEWEST CHESTER, CHESTER, PA 19380-4567",170061250,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Category1 Network Equipment ","$360,000.00",Likely,18,18 school WAN,1/24 previewed RFP; asked about strand count
Pickens County School District ,3/28/17,SC,School District ,"1348 GRIFFIN MILL RDEASLEY, PICKENS, SC 29640-8885",170075767,"Leased Dark Fiber, Leased Lit Fiber (10G) Category 1 Network equipment ","$260,000.00",Likely ,13,13 location WAN ,3/28 confirmed receipt 
Pickens County School District ,2/7/17,SC,School District ,"1348 GRIFFIN MILL RDEASLEY, PICKENS, SC 29640-8885",170064324,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (1-10G), Category1 Network Equipment ","$990,000.00",Likely ,33,33 location WAN ,2/7 concerned about preference for network topology into RFP
Richland County School District 1,10/25/16,SC,School District ,"1616 RICHLAND STCOLUMBIA, RICHLAND, SC 29201",170048679,Leased dark fiber vs. leased lit service vs. self provisioning ,"$5,000,000.00",Likely ,58,Bidding options for 58 entity WAN.  ,10/25-Equipment not bid on same 470; terminology dark fiber used instead of leased dark fiber; wrote applicant
Bradley County School District ,1/7/17,TN,School District ,"800 S LEE HWYCLEVELAND, BRADLEY, TN 37311-5853",170058361,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (1-10G), Category1 Network Equipment (1-10G)","$300,000.00",Likely,21,21 school WAN ,1/3-Did not bid Transport Only-No ISP Service Included  - wrote the applicant. 1/7 Refiled with correct options
Lincoln County School District ,2/8/17,TN ,School District ,"206 DAVIDSON ST EFAYETTEVILLE, LINCOLN, TN 37334-3502",170064564,"Leased Lit Fiber, Leased Dark Fiber (1-10G)","$160,000.00",Likely,,8 location WAN ,2/8 previewed RFP
AXTELL INDEP SCHOOL DISTRICT,1/12/17,TX,School District ,"308 OTTAWAAXTELL, MCLENNAN, TX 76624",170059207,"Self Provisioning, Leased Lit Fiber (10-25G), Bundled (DIA) (500-750 mbps), ISP (50-100 mbps)","$50,000.00",Likely,1,1 school back to a hub locations ,1/12 applicant did not bid correct options -- need to add equipment and Transport Only-No ISP Service Included .  RFP is okay as is.
White Settlement ISD ,2/9/17,TX,School District ,"401 S Cherry Lane, White Settlement, TX 76108",170064228,"Leased Dark Fiber, Leased Lit Fiber 91-10G), Bundled (DIA) (1-10G), Transport Only-No ISP Service Included (1-10G)","$200,000.00",Likely,10,10 location WAN,2/9 strand count on lease and cat1 routers and switches 
DUMAS INDEP SCHOOL DISTRICT,3/11/17,TX,School District ,"400 MILLER AVEDUMAS, MOORE, TX 79029",170070365,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10G), Transport Only-No ISP Service Included (10G), Category 1 network equipment ","$330,000.00",Likely,11,11 Location WAN ,3/11 - Confirmed receipt 
Jasper ISD,2/28/17,TX,School District ,"128 ParkJASPER, JASPER, TX 75951-3466",170063970,"Fiber Maintenance and Operations, ISP (500 mbps-2G)",$0.00,Likely,11,11 location WAN - existing self provisioned and leased dark fiber combination ,2/28 - confirmed receipt 
CYPRESS-FAIRBANKS ISD,1/27/17,TX,School District ,"10300 JONES ROADHOUSTON, HARRIS, TX 77065-4208",170062512,"Self provisioning, Leased Dark fiber, Leased Lit Fiber (10-25G), Category1 Network Equipment, Transport Only-No ISP Service Included  (10-25G)","$2,640,000.00",Likely,132,132 location WAN with 3 hub locations ,1/27 confirmed receipt ; reminded about leased dark fiber strands
Coppell Independent School District ,11/15/16,TX,School District ,"1303 WRANGLER CIRCLECOPPELL, DALLAS, TX 75019-3205",170049647,"Self provisioning, Leased Lit Fiber (10-25G), Leased Dark Fiber ","$360,000.00",Likely,18,18 school WAN,11/15 - confirmed receipt.  
Cisco ISD ,2/9/17,TX,School District ,"1503 LIGGETT STCISCO, EASTLAND, TX 76437",170064936,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-5G), Transport Only-No ISP Service Included  (1-5G); Category 1 network equipment ","$100,000.00",Likely,2,2 location WAN,2/7 Wrote about equipment ; 2/9 refiled with equipment and transport language
CROSS ROADS INDEP SCH DISTRICT,2/9/17,TX,School District ,"14434 FM 59MALAKOFF, HENDERSON, TX 75148",170064081,"Self Provisioning, Transport Only-No ISP Service Included (1G), Leased Lit Fiber (1G)","$100,000.00",Likely,2,2 location WAN,2/9 - Wrote about equipment 
Lubbock-Cooper ISD ,2/8/17,TX,School District ,"16302 LOOP 493LUBBOCK, LUBBOCK, TX 79423-7805",170061433,"Leased Dark Fiber, Leased Lit Fiber (10-25G)","$75,000.00",Likely ,2,2 location WAN ,2/8 Wrote about equipment 
PLEMONS-STINNETT-PHILLIPS CISD,12/15/16,TX,School District ,"603 S MAIN STSTINNETT, HUTCHINSON, TX 79083",170054459,Leased dark fiber vs. leased lit service ,"$50,000.00",Likely,2,2 locations WAN ,"12/15-Applicant seems to bid self provisioning, wrote to clarify. ."
Baird Independent School District ,12/17/16,TX,School District ,"600 W 7TH STBAIRD, CALLAHAN, TX 79504",170055203,Leased dark fiber vs. leased lit service vs. self provisioning vs. Transport Only-No ISP Service Included  ,"$75,000.00",Likely,3,3 School WAN ,12/14-Did not bid Transport Only-No ISP Service Included  or equipment with self provisioning. 12/17 corrected filing 
WICHITA FALLS INDEPENDENT SCHOOL DISTRICT,1/19/17,TX,School District ,"1104 BROAD STREETWICHITA FALLS, WICHITA, TX 76301",170053841,"Self Provisoning, Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included  (10-25G), Category1 Network Equipment ","$1,500,000.00",Likely,36,36 location WAN,1/19 confirmed receipt 
KIRBYVILLE INDEP SCHOOL DIST,2/4/17,TX,School District ,"206 E MAIN STKIRBYVILLE, JASPER, TX 75956-2128",170063886,"Self Provisioning, Leased Lit Fiber (10G), Transport Only-No ISP Service Included  (10G)","$100,000.00",Likely,4,4 location WAN,2/4 add language about Transport Only-No ISP Service Included  function to RFP
LAGO VISTA INDEP SCH DISTRICT,1/18/17,TX,School District ,"8039 BAR K RD, PO BOX 4929LAGO VISTA, TRAVIS, TX 78645",170059946,Fiber Maintenance and Operations ,$0.00,Likely,4,"4 location WAN, existing fiber network ",1/18-confirmed receipt
Slaton Independent School District ,1/20/17,TX,School District ,"140 E. PANHANDLESLATON, LUBBOCK, TX 79364-4110",170058751,"Self Provisioning, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (1-10G)","$100,000.00",Likely,4,4 NIF location WAN,1/20-Wrote about equipment; asked about NIF need
Lindale ISD ,1/8/17,TX,School District ,"505 PIERCE STLINDALE, SMITH, TX 75771",170058407,Leased Dark Fiber vs. Leased Lit Fiber (1-10G); Category 1 Network Equipment ,"$150,000.00",Likely,5,5 location WAN,1/6-Wrote about equipment 1/8 Refiled to included equipment 
DIMMITT INDEP SCHOOL DISTRICT,2/3/17,TX,School District ,"608 W HALSELL STDIMMITT, CASTRO, TX 79027-1750",170063822,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-5G), Transport Only-No ISP Service Included  (1-5G)","$200,000.00",Likely ,5,5 location WAN,2/3 Wrote about equipment 
CUERO INDEP SCHOOL DISTRICT,1/31/17,TX,School District ,"960 East BroadwayCUERO, DE WITT, TX 77954-2132",170062899,Category1 Network Equipment ,$0.00,Likely,6,6 location WAN,1/27 bid self provisioning ; 1/31 refiled correctly
MARLIN INDEP SCHOOL DISTRICT,2/7/17,TX,School District ,"130 COLEMAN STMARLIN, FALLS, TX 76661-2811",170062055,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (1-10G), Category 1 network equipment ","$150,000.00",Likely,6,6 location WAN,2/7 - confirmed receipt 
Banquete Independent School District ,1/12/17,TX,School District ,"4339 4TH STBANQUETE, NUECES, TX 78339",170059175,"Self provisioning, leased dark fiber, leased lit fiber (10G), Transport Only-No ISP Service Included  (10G), Category1 network equipment, fiber maintenance and operations ","$210,000.00",Likely,6,7 location WAN - 6 schools and NIFs back to hub,1/10 need to refile and bid Transport Only-No ISP Service Included  option 1/12 Refiled correctly
Hutto ISD,1/5/17,TX,School District ,"200 COLLEGE STREETHUTTO, WILLIAMSON, TX 78634",170054476,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber  (10G), Transport Only-No ISP Service Included  (1-10G), Category 1 Network Equipment ","$210,000.00",Likely,6,7 Location WAN - 6 schools back to hub,1/5 confirmed receipt 
Killeen Independent School District ,1/14/17,TX,School District ,"200 N W S YOUNG DRKILLEEN, BELL, TX 76543-4025",170058057,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included  (10-25G), Category1 Network Equipment, Maintenance and Operations ","$1,500,000.00",Likely ,71,71 location WAN with two data center locations -- creating WAN with hardwired and virtual pathing ,1/14 - Reviewed RFP before filed 
NORTHWEST INDEP SCHOOL DIST,1/17/17,TX,School District ,"2001 Texan Drive, Justin Fort Worth, Texas 76247",170060084,"Leased Dark Fiber, Leased Lit Fiber  (10 G), Category1 Network Equipment ","$100,000.00",Likely,8,8 location WAN ,1/15 bid a 10 mbps comparable lit service on the FCC form 470 but 10G in the RFP --and bid six strands.  Wrote to correct FCC Form 470 and to remind applicant about requirement to light all leased strands in year 1 to receive reimbursement; 1/17 Corrected filing
LIFE SCHOOL,2/4/17,TX,School District ,"132 East Ovilla Road, Suite ARed Oak, Ellis, TX 75154",170064188,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Other-Cross Connect, Transport Only-No ISP Service Included  (1-10G), ISP (500 mbps-1G), Bundled (DIA) (500 mbps-1G)","$160,000.00",Likely,,8 location WAN ,2/4 confirmed receipt 
ATHENS INDEP SCHOOL DISTRICT,1/12/17,TX,School District ,"104 HAWN STATHENS, HENDERSON, TX 75751-2423",170058934,"Leased dark Fiber, Leased lit fiber (10G)","$160,000.00",Likely,8,8 school district WAN,1/12 wrote to ask about category 1 network equipment 
CRANDALL INDEP SCHOOL DISTRICT,1/27/17,TX,School District ,"400 WEST LEWISCRANDALL, KAUFMAN, TX 75114",170059326,Category1 Network Equipment ,$0.00,Likely ,9,9 school district -- equipment for existing WAN,1/27 category1 network equipment for existing dark fiber WAN
DeLeon Independent School District ,11/14/16,TX,School District ,"425 SOUTH TEXAS STREETDE LEON, COMANCHE, TX 76444",170049677,Leased dark fiber vs. leased lit service vs. self provisioning ,"$50,000.00",Unlikely,2,Between 2 entities ,11/9-Did not bid a comparative leased lit fiber option.  Wrote applicant to inform. 11/15 - Refiled 
Ricardo ISD,11/7/16,TX,School District ,"138 WEST COUNTY ROAD 2160KINGSVILLE, KLEBERG, TX 78363-8815",170049477,Leased dark fiber vs. leased lit service vs. self provisioning ,"$30,000.00",Likely,1,Bidding a new connection to a new school 2500',11/3 - going to refile to explore all fiber options including leased dark fiber; 11/8 Refiling complete 
NOCONA INDEP SCHOOL DISTRICT,4/11/17,TX,School District ,"220 CLAY STNOCONA, MONTAGUE, TX 76255-2104",170080487,"Leased Dark Fiber, Leased Lit Fiber (100 mbps-1G), Transport Only-No ISP Service Included (100 mbps-1G), ISP (50 mbps-1G)","$15,000.00",Likely,1,Connection between 2 schools,12/16 - this looks like self provisioning -- not a lease. Wrote applicant. 1/3-reflied with self provisioning 4/11 refiled with no self provisioning option
