,ID,Denial Narratives for FRNs,Denial Narratives for Applicatons,DR1,fcdl_comment_cleaned,fcdl_comment_array
137,138,"DR1:On 7/26/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",MR1:The following RAL changes requested were not implemented because they are not allowable changes: Redlight Implementation Rule.;MR2:The following RAL changes requested were not implemented because they are not allowable changes: Redlight Rule Implementation.,Red light rule violation,dr1 7 26 2016 application denied based noncompliance fccâ€™s red light rule implements requirements fccâ€™s debt collection improvement act 1996 fcc 04 72 april 13 2004,"['dr1', '7', '26', '2016', 'application', 'denied', 'based', 'noncompliance', 'fccâ€™s', 'red', 'light', 'rule', 'implements', 'requirements', 'fccâ€™s', 'debt', 'collection', 'improvement', 'act', '1996', 'fcc', '04', '72', 'april', '13', '2004']"
138,139,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support eligible monthly usage and charges.,,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation support eligible monthly usage charges,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'support', 'eligible', 'monthly', 'usage', 'charges']"
139,140,DR1:The FRN is denied because the entity 151596 requesting products and service within this FRN is closed based on the review of your member entity(ies) and therefore is ineligible to receive funding under the Program rules.,MR1:The applicant did not submit any RAL corrections.,Applicant ineligible,dr1 frn denied entity 151596 requesting products service within frn closed based review member entity ies therefore ineligible receive funding program rules,"['dr1', 'frn', 'denied', 'entity', '151596', 'requesting', 'products', 'service', 'within', 'frn', 'closed', 'based', 'review', 'member', 'entity', 'ies', 'therefore', 'ineligible', 'receive', 'funding', 'program', 'rules']"
140,141,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support services being requested.,"MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation support services requested,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'support', 'services', 'requested']"
141,142,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation for services being requested.,,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation services requested,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'services', 'requested']"
142,143,"DR1:The FRN is denied because the entities requesting service within the FRN, 16082706, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.",Applicant ineligible,dr1 frn denied entities requesting service within frn 16082706 meet statutory definition elementary secondary schools receive universal service fund support,"['dr1', 'frn', 'denied', 'entities', 'requesting', 'service', 'within', 'frn', '16082706', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support']"
143,144,"DR1:The FRN is denied because the entities requesting service within the FRN, 16082706, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.",Applicant ineligible,dr1 frn denied entities requesting service within frn 16082706 meet statutory definition elementary secondary schools receive universal service fund support,"['dr1', 'frn', 'denied', 'entities', 'requesting', 'service', 'within', 'frn', '16082706', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support']"
144,145,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support services being requested.,,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation support services requested,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'support', 'services', 'requested']"
145,146,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support services being requested.,,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation support services requested,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'support', 'services', 'requested']"
146,147,"DR1:The FRN is denied because the entities requesting service within the FRN, 16082706, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.;DR2:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor documentation.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.",Applicant ineligible,dr1 frn denied entities requesting service within frn 16082706 meet statutory definition elementary secondary schools receive universal service fund support dr2 applicant provided sufficient documentation needed determine eligibility following item vendor documentation,"['dr1', 'frn', 'denied', 'entities', 'requesting', 'service', 'within', 'frn', '16082706', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support', 'dr2', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation']"
147,148,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support funding of $3,645.00 per month for OC-3 connection.",,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation support funding 3 645 00 per month oc 3 connection,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'support', 'funding', '3', '645', '00', 'per', 'month', 'oc', '3', 'connection']"
148,149,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following items: monthly recurring charges for OC-3 data connection and independent status of entity 16061731.,"MR1:RAL change implemented on your FCC Form 471, Main Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following items monthly recurring charges oc 3 data connection independent status entity 16061731,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'items', 'monthly', 'recurring', 'charges', 'oc', '3', 'data', 'connection', 'independent', 'status', 'entity', '16061731']"
149,150,DR1:This FRN is denied because the funding request is duplicative of a current year's FRN. Program rules prohibit USAC from funding the same products and services to the same location in the same funding year.,MR1:The applicant did not submit any RAL corrections.,Duplicate FRN,dr1 frn denied funding request duplicative current year frn program rules prohibit usac funding products services location funding year,"['dr1', 'frn', 'denied', 'funding', 'request', 'duplicative', 'current', 'year', 'frn', 'program', 'rules', 'prohibit', 'usac', 'funding', 'products', 'services', 'location', 'funding', 'year']"
150,151,DR1:The FRN is denied because the applicant failed to respond to the Administrator's Selective Review Information Request. You did not provide any documentation to determine if the entity met Program rules for competitive bidding and the FCC Form 471 Certifications.,,Missing documentation to determin competitive bidding,dr1 frn denied applicant failed respond administrator selective review information request provide documentation determine entity met program rules competitive bidding fcc form 471 certifications,"['dr1', 'frn', 'denied', 'applicant', 'failed', 'respond', 'administrator', 'selective', 'review', 'information', 'request', 'provide', 'documentation', 'determine', 'entity', 'met', 'program', 'rules', 'competitive', 'bidding', 'fcc', 'form', '471', 'certifications']"
151,152,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Make/Model of equipment, Contract.;DR2:The Contract Expiration Date on the current FCC Form 471 is different than the Contract Expiration Date reported on the previous year's FCC Form 471 for the identical contract. This indicates that the contract was extended without the extension being requested on the referenced FCC Form 470 or RFP (if applicable). This is a violation of the program rules and therefore, the FRN is denied.","MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item make model equipment contract dr2 contract expiration date current fcc form 471 different contract expiration date reported previous year fcc form 471 identical contract indicates contract extended without extension requested referenced fcc form 470 rfp applicable violation program rules therefore frn denied,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'make', 'model', 'equipment', 'contract', 'dr2', 'contract', 'expiration', 'date', 'current', 'fcc', 'form', '471', 'different', 'contract', 'expiration', 'date', 'reported', 'previous', 'year', 'fcc', 'form', '471', 'identical', 'contract', 'indicates', 'contract', 'extended', 'without', 'extension', 'requested', 'referenced', 'fcc', 'form', '470', 'rfp', 'applicable', 'violation', 'program', 'rules', 'therefore', 'frn', 'denied']"
152,153,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Installation, Activation, &amp;amp; Initial Configuration of eligible equipment.",MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item installation activation amp amp initial configuration eligible equipment,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'installation', 'activation', 'amp', 'amp', 'initial', 'configuration', 'eligible', 'equipment']"
153,154,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Installation, Activation, &amp;amp; Initial Configuration of eligible equipment.",MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item installation activation amp amp initial configuration eligible equipment,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'installation', 'activation', 'amp', 'amp', 'initial', 'configuration', 'eligible', 'equipment']"
154,155,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Installation, Activation, &amp;amp; Initial Configuration of eligible equipment.",MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item installation activation amp amp initial configuration eligible equipment,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'installation', 'activation', 'amp', 'amp', 'initial', 'configuration', 'eligible', 'equipment']"
155,156,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Products and services being requested.,"MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item products services requested,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'products', 'services', 'requested']"
156,157,"DR1:You requested that BEN 16080605 and 16080606 be removed from FRN 1699040851 to bring this entity within its allowable Category Two budget. Since this funding request is site specific to BEN 16080605 and 16080606 and the amount requested is over the entityâ€™s Category Two budget, FRN is denied. ;MR1:The Recipients of Service for all FRN Line Items was modified from DIEGO SPRINGS ACADEMY, DIEGO SPRINGS ACADEMY A, DIEGO SPRINGS ACADEMY B, and DIEGO VALLEY DANIEL AVE to DIEGO SPRINGS ACADEMY to agree with the applicant documentation.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.;MR2:The student count for BEN 16080422 was decreased from 625 to 308 students that could be validated based on third party data.;MR3:Since the Category Two budget is determined at a single school level (including all its secondary locations), the main location of a single school with multiple locations must list the number of Full Time Students and/or Number of Students that attend part-time regularly at the same time during the school day for the main entity and all its secondary locations. As a result, the Number of Full Time and Part-Time Students for 16080605_Diego Springs Academy A and 16080606_ Diego Springs Academy B was changed to 0.",Category 2 budget exceeded,dr1 requested ben 16080605 16080606 removed frn 1699040851 bring entity within allowable category two budget since funding request site specific ben 16080605 16080606 amount requested entityâ€™s category two budget frn denied mr1 recipients service frn line items modified diego springs academy diego springs academy diego springs academy b diego valley daniel ave diego springs academy agree applicant documentation,"['dr1', 'requested', 'ben', '16080605', '16080606', 'removed', 'frn', '1699040851', 'bring', 'entity', 'within', 'allowable', 'category', 'two', 'budget', 'since', 'funding', 'request', 'site', 'specific', 'ben', '16080605', '16080606', 'amount', 'requested', 'entityâ€™s', 'category', 'two', 'budget', 'frn', 'denied', 'mr1', 'recipients', 'service', 'frn', 'line', 'items', 'modified', 'diego', 'springs', 'academy', 'diego', 'springs', 'academy', 'diego', 'springs', 'academy', 'b', 'diego', 'valley', 'daniel', 'ave', 'diego', 'springs', 'academy', 'agree', 'applicant', 'documentation']"
157,158,"DR1:The FRN is denied because the entities requesting service within the FRN, 17003098, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible,dr1 frn denied entities requesting service within frn 17003098 meet statutory definition elementary secondary schools receive universal service fund support,"['dr1', 'frn', 'denied', 'entities', 'requesting', 'service', 'within', 'frn', '17003098', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support']"
158,159,"DR1:The FRN is denied because the entity requesting service within the FRN, 17003098, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible,dr1 frn denied entity requesting service within frn 17003098 meet statutory definition elementary secondary schools receive universal service fund support,"['dr1', 'frn', 'denied', 'entity', 'requesting', 'service', 'within', 'frn', '17003098', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support']"
159,160,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): OC-3,"MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item oc 3,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'oc', '3']"
160,161,"DR1:You requested that BEN 17002075 Crescent View South A and 17002068 Stockton be removed. Since this funding request is site specific to BEN 17002075 Crescent View South A and 17002068 Stockton, FRN is denied.","MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.;MR2:17002075 Crescent View South A and 17002068 Stockton have been removed from the FCC Form 471 application at the request of the applicant.;MR3:The Student count for entity was increased from 380 to 752 students that could be validated by third party data. The applicant supplied valid third party data to support the higher than requested Total full time students for this school.",Applicant ineligible,dr1 requested ben 17002075 crescent view south 17002068 stockton removed since funding request site specific ben 17002075 crescent view south 17002068 stockton frn denied,"['dr1', 'requested', 'ben', '17002075', 'crescent', 'view', 'south', '17002068', 'stockton', 'removed', 'since', 'funding', 'request', 'site', 'specific', 'ben', '17002075', 'crescent', 'view', 'south', '17002068', 'stockton', 'frn', 'denied']"
161,162,"DR1:No contract or legally binding agreement was in place when the FCC Form 471 Certification was filed. FCC Rules require that a contract be signed and dated by the applicant or a legally binding agreement is entered into prior to the filing of the FCC Form 471 Certification for the products and services requested. Since this requirement was not met, the FRN is denied.",,No signed contract in place,dr1 contract legally binding agreement place fcc form 471 certification filed fcc rules require contract signed dated applicant legally binding agreement entered prior filing fcc form 471 certification products services requested since requirement met frn denied,"['dr1', 'contract', 'legally', 'binding', 'agreement', 'place', 'fcc', 'form', '471', 'certification', 'filed', 'fcc', 'rules', 'require', 'contract', 'signed', 'dated', 'applicant', 'legally', 'binding', 'agreement', 'entered', 'prior', 'filing', 'fcc', 'form', '471', 'certification', 'products', 'services', 'requested', 'since', 'requirement', 'met', 'frn', 'denied']"
162,163,"DR1:The FRN is denied because the entity requesting service within the FRN, Yeshiva Chok leYisroel Lubavitch (17003098), do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible,dr1 frn denied entity requesting service within frn yeshiva chok leyisroel lubavitch 17003098 meet statutory definition elementary secondary schools receive universal service fund support,"['dr1', 'frn', 'denied', 'entity', 'requesting', 'service', 'within', 'frn', 'yeshiva', 'chok', 'leyisroel', 'lubavitch', '17003098', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support']"
163,164,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support amount of $3,200.00 per month.;MR1:The applicant failed to supply documentation to support the requested full and part-time student counts for BEN 16081004. As a result, the requested student counts for this entity were removed from the entity profile and the cost of Category Two services for this entity was removed from all FRN Line Items on this FRN. The dollars requested were reduced from $34,560.00 to $7,680 to remove the costs associated with this entity.","MR1:FRN(s) modified in accordance with a RAL request.;MR2:The applicant failed to supply documentation to support the requested discount data to support the higher discount). As a result of this action, the discount of this FCC Form 471 was decreased from Original 90% to minimum discount of 20%, minimum discount percentage OR the discount percentage that could be validated by third party data.",Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation support amount 3 200 00 per month mr1 applicant failed supply documentation support requested full part time student counts ben 16081004 result requested student counts entity removed entity profile cost category two services entity removed frn line items frn dollars requested reduced 34 560 00 7 680 remove costs associated entity,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'support', 'amount', '3', '200', '00', 'per', 'month', 'mr1', 'applicant', 'failed', 'supply', 'documentation', 'support', 'requested', 'full', 'part', 'time', 'student', 'counts', 'ben', '16081004', 'result', 'requested', 'student', 'counts', 'entity', 'removed', 'entity', 'profile', 'cost', 'category', 'two', 'services', 'entity', 'removed', 'frn', 'line', 'items', 'frn', 'dollars', 'requested', 'reduced', '34', '560', '00', '7', '680', 'remove', 'costs', 'associated', 'entity']"
164,165,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Mobile Broadband router or cellular hotspot service,MR1:FRN(s) modified in accordance with a RAL request.;MR2:Mission View Public School D#17002289 has been removed from under the â€œRequested Discount Calculationâ€ section of the FCC Form 471 application.,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item mobile broadband router cellular hotspot service,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'mobile', 'broadband', 'router', 'cellular', 'hotspot', 'service']"
165,166,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): To reduce C2 amount requested in order to be within budget.;MR1:The amount of the funding request was changed from $18,175.39 to $16,449.71 to remove the ineligible product(s) or service(s): Surge Protector (SMX500RT1U) - $1,725.68.",,Ineligible Service,dr1 applicant provided sufficient documentation needed determine eligibility following item reduce c2 amount requested order within budget mr1 amount funding request changed 18 175 39 16 449 71 remove ineligible product service surge protector smx500rt1u 1 725 68,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'reduce', 'c2', 'amount', 'requested', 'order', 'within', 'budget', 'mr1', 'amount', 'funding', 'request', 'changed', '18', '175', '39', '16', '449', '71', 'remove', 'ineligible', 'product', 'service', 'surge', 'protector', 'smx500rt1u', '1', '725', '68']"
166,167,"DR1:The FRN is denied because the entities requesting service within the FRN, 17002081, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.",MR1:Main contact of the FCC Form 471 was modified in accordance with the applicantâ€™s request.;MR2:Mendota 16075627 has been added under the â€œRequested Discount Calculationâ€ section of the FCC Form 471 application.;MR3:FRN(s) modified in accordance with a RAL request.,Applicant ineligible,dr1 frn denied entities requesting service within frn 17002081 meet statutory definition elementary secondary schools receive universal service fund support,"['dr1', 'frn', 'denied', 'entities', 'requesting', 'service', 'within', 'frn', '17002081', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support']"
167,168,DR1:A FCC Form 470 was not posted for requested tariff or month-to-month services for Funding Year FY2016. FCC Rules require that requested tariff or month-to-month services be posted on a FCC Form 470 each Funding Year.,MR1:Some RAL changes could not be processed. Please see your FRN-level comments for additional details regarding why these changes could not be processed.,Competitive Bidding Violation,dr1 fcc form 470 posted requested tariff month month services funding year fy2016 fcc rules require requested tariff month month services posted fcc form 470 funding year,"['dr1', 'fcc', 'form', '470', 'posted', 'requested', 'tariff', 'month', 'month', 'services', 'funding', 'year', 'fy2016', 'fcc', 'rules', 'require', 'requested', 'tariff', 'month', 'month', 'services', 'posted', 'fcc', 'form', '470', 'funding', 'year']"
168,169,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): products and services being requested - Vendor documentation for 3 Schools not provided.,"MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.;MR2:The discount percentage for Diego Valley Public Charter - 17002097 was decreased from 90% to 80% based on applicant documentation.",Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item products services requested vendor documentation 3 schools provided,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'products', 'services', 'requested', 'vendor', 'documentation', '3', 'schools', 'provided']"
169,170,DR1:A FCC Form 470 was not posted for requested tariff or month-to-month services for Funding Year FY2016. FCC Rules require that requested tariff or month-to-month services be posted on a FCC Form 470 each Funding Year.,MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation,dr1 fcc form 470 posted requested tariff month month services funding year fy2016 fcc rules require requested tariff month month services posted fcc form 470 funding year,"['dr1', 'fcc', 'form', '470', 'posted', 'requested', 'tariff', 'month', 'month', 'services', 'funding', 'year', 'fy2016', 'fcc', 'rules', 'require', 'requested', 'tariff', 'month', 'month', 'services', 'posted', 'fcc', 'form', '470', 'funding', 'year']"
170,171,"DR1:On 6/22/2017 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",,Red light rule violation,dr1 6 22 2017 application denied based noncompliance fccâ€™s red light rule implements requirements fccâ€™s debt collection improvement act 1996 fcc 04 72 april 13 2004,"['dr1', '6', '22', '2017', 'application', 'denied', 'based', 'noncompliance', 'fccâ€™s', 'red', 'light', 'rule', 'implements', 'requirements', 'fccâ€™s', 'debt', 'collection', 'improvement', 'act', '1996', 'fcc', '04', '72', 'april', '13', '2004']"
171,172,"DR1:Based on the documentation provided during review, this FRN is denied since you failed to properly evaluate bids received. Your evaluation worksheet indicates bidders were evaluated based on a 100 point scale. Correspondence provided between service provider Advance 2000 and the school shows that Advance 2000 sent an email to the school requesting detailed information on the services the school was seeking. The school notified Advance 2000 that it was seeking Internet service at a rate between 50 Mbps 100 Mbps down/5 10 Mbps up. Similar specs were provided by the school to other service providers. A review of the bid with Advance 2000 shows that the bid was responsive to the specifications as communicated to them by the school. Time Warner also provided a bid was which was responsive to the specs as communicated to them by the school. Your evaluation contains three evaluation criteria which are worth a total of 60 points. These criteria are Download Speed, Upload Speed, and Dedicated Connection. Windstream is awarded a full 60 points in these evaluation criterions, while Time Warner and Advance 2000 are awarded 18 points. Download Speed and Upload Speed are criterions that cannot be used to penalize Time Warner and Advance 2000 since the bids they provided are responsive to your stated specs. Likewise, Time Warner and Advance 2000 cannot be penalized for not providing a Dedicated Connection since that requirement was not communicated to the service providers either on the FCC Form 470 that initiated the bidding process or in correspondence to the vendors. Your evaluation shows that while Monthly Cost of Eligible Products/Services individually accounted for the most points in the evaluation, the primary consideration for the school was the combined Download Speed, Upload Speed, and Dedicated Connection criterions. Thus, price was not your primary consideration and the FRN is denied. Additionally, you failed to properly evaluate a bid option from AT&amp;amp;T.",MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation - price not primary factor,dr1 based documentation provided review frn denied since failed properly evaluate bids received evaluation worksheet indicates bidders evaluated based 100 point scale correspondence provided service provider advance 2000 school shows advance 2000 sent email school requesting detailed information services school seeking school notified advance 2000 seeking internet service rate 50 mbps 100 mbps 5 10 mbps similar specs provided school service providers review bid advance 2000 shows bid responsive specifications communicated school time warner also provided bid responsive specs communicated school evaluation contains three evaluation criteria worth total 60 points criteria download speed upload speed dedicated connection windstream awarded full 60 points evaluation criterions time warner advance 2000 awarded 18 points download speed upload speed criterions cannot used penalize time warner advance 2000 since bids provided responsive stated specs likewise time warner advance 2000 cannot penalized providing dedicated connection since requirement communicated service providers either fcc form 470 initiated bidding process correspondence vendors evaluation shows monthly cost eligible products services individually accounted points evaluation primary consideration school combined download speed upload speed dedicated connection criterions thus price primary consideration frn denied additionally failed properly evaluate bid option amp amp,"['dr1', 'based', 'documentation', 'provided', 'review', 'frn', 'denied', 'since', 'failed', 'properly', 'evaluate', 'bids', 'received', 'evaluation', 'worksheet', 'indicates', 'bidders', 'evaluated', 'based', '100', 'point', 'scale', 'correspondence', 'provided', 'service', 'provider', 'advance', '2000', 'school', 'shows', 'advance', '2000', 'sent', 'email', 'school', 'requesting', 'detailed', 'information', 'services', 'school', 'seeking', 'school', 'notified', 'advance', '2000', 'seeking', 'internet', 'service', 'rate', '50', 'mbps', '100', 'mbps', '5', '10', 'mbps', 'similar', 'specs', 'provided', 'school', 'service', 'providers', 'review', 'bid', 'advance', '2000', 'shows', 'bid', 'responsive', 'specifications', 'communicated', 'school', 'time', 'warner', 'also', 'provided', 'bid', 'responsive', 'specs', 'communicated', 'school', 'evaluation', 'contains', 'three', 'evaluation', 'criteria', 'worth', 'total', '60', 'points', 'criteria', 'download', 'speed', 'upload', 'speed', 'dedicated', 'connection', 'windstream', 'awarded', 'full', '60', 'points', 'evaluation', 'criterions', 'time', 'warner', 'advance', '2000', 'awarded', '18', 'points', 'download', 'speed', 'upload', 'speed', 'criterions', 'cannot', 'used', 'penalize', 'time', 'warner', 'advance', '2000', 'since', 'bids', 'provided', 'responsive', 'stated', 'specs', 'likewise', 'time', 'warner', 'advance', '2000', 'cannot', 'penalized', 'providing', 'dedicated', 'connection', 'since', 'requirement', 'communicated', 'service', 'providers', 'either', 'fcc', 'form', '470', 'initiated', 'bidding', 'process', 'correspondence', 'vendors', 'evaluation', 'shows', 'monthly', 'cost', 'eligible', 'products', 'services', 'individually', 'accounted', 'points', 'evaluation', 'primary', 'consideration', 'school', 'combined', 'download', 'speed', 'upload', 'speed', 'dedicated', 'connection', 'criterions', 'thus', 'price', 'primary', 'consideration', 'frn', 'denied', 'additionally', 'failed', 'properly', 'evaluate', 'bid', 'option', 'amp', 'amp']"
172,173,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item: Vendor Documentation.,MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation']"
