,bigram,count,phrase_array,category_arrays
5771,"('179906679', 'voice')",1,179906679 voice,[]
5772,"('1799063158', 'new')",1,1799063158 new,[]
5773,"('1799060241', 'new')",1,1799060241 new,[]
5774,"('1799056885', '001')",1,1799056885 001,[]
5775,"('1799081273', 'modified')",1,1799081273 modified,[]
5776,"('1799054158', 'voice')",1,1799054158 voice,[]
5777,"('1799045070', 'order')",1,1799045070 order,[]
5778,"('1799044780', '001')",1,1799044780 001,[]
5779,"('177', 'month')",1,177 month,[]
5780,"('175', '14')",1,175 14,[]
5781,"('174', '00')",1,174 00,[]
5782,"('1799075802', 'voice')",1,1799075802 voice,[]
5783,"('1799081349', '001')",1,1799081349 001,[]
5784,"('180', '00')",1,180 00,[]
5785,"('1799106307', 'modified')",1,1799106307 modified,[]
5786,"('18', '77')",1,18 77,[]
5787,"('1799112564', '0')",1,1799112564 0,[]
5788,"('1799112483', '0')",1,1799112483 0,[]
5789,"('1799107272', 'voice')",1,1799107272 voice,[]
5790,"('1799107272', 'new')",1,1799107272 new,[]
5791,"('1799106371', 'modified')",1,1799106371 modified,[]
5792,"('1799106205', 'modified')",1,1799106205 modified,[]
5793,"('1799081395', '001')",1,1799081395 001,[]
5794,"('1799098424', '001')",1,1799098424 001,[]
5795,"('1799097114', 'copper')",1,1799097114 copper,[]
5796,"('1799088626', 'order')",1,1799088626 order,[]
5797,"('1799087166', '001')",1,1799087166 001,[]
5798,"('1799082550', 'new')",1,1799082550 new,[]
5799,"('1799081939', 'voice')",1,1799081939 voice,[]
5800,"('17004398', '17004363')",1,17004398 17004363,[]
5801,"('17004396', '17004430')",1,17004396 17004430,[]
5802,"('4fxo', 'vic3')",1,4fxo vic3,[]
5803,"('1699129345', 'yes')",1,1699129345 yes,[]
5804,"('1699144818', 'service')",1,1699144818 service,[]
5805,"('1699144703', 'amount')",1,1699144703 amount,[]
5806,"('1699144647', 'service')",1,1699144647 service,[]
5807,"('1699144602', 'services')",1,1699144602 services,[]
5808,"('1699144394', 'voice')",1,1699144394 voice,[]
5809,"('1699144357', '1699144602')",1,1699144357 1699144602,[]
5810,"('1699144356', '1699144357')",1,1699144356 1699144357,[]
5811,"('1699144290', 'denied')",1,1699144290 denied,[]
5812,"('1699144288', 'denied')",1,1699144288 denied,[]
5813,"('1699144112', 'service')",1,1699144112 service,[]
5814,"('1699143934', 'total')",1,1699143934 total,[]
5815,"('1699138692', '0')",1,1699138692 0,[]
5816,"('1699137812', 'dark')",1,1699137812 dark,[]
5817,"('1699137462', 'service')",1,1699137462 service,['Voice - no discount remaining']
5818,"('1699133350', 'denied')",1,1699133350 denied,[]
5819,"('1699144908', 'service')",1,1699144908 service,[]
5820,"('1699144929', '001')",1,1699144929 001,[]
5821,"('1699145362', 'new')",1,1699145362 new,[]
5822,"('1699145573', 'total')",1,1699145573 total,[]
5823,"('1699145582', 'total')",1,1699145582 total,[]
5824,"('1699145581', 'total')",1,1699145581 total,[]
5825,"('1699145577', 'total')",1,1699145577 total,[]
5826,"('1699145576', 'total')",1,1699145576 total,[]
5827,"('1699145575', 'total')",1,1699145575 total,[]
5828,"('1699145574', 'total')",1,1699145574 total,[]
5829,"('1699145572', 'total')",1,1699145572 total,[]
5830,"('1699145562', 'total')",1,1699145562 total,[]
5831,"('1699145571', 'total')",1,1699145571 total,[]
5832,"('1699145570', 'total')",1,1699145570 total,[]
5833,"('1699145569', 'total')",1,1699145569 total,[]
5834,"('1699145568', 'total')",1,1699145568 total,[]
5835,"('1699145567', 'total')",1,1699145567 total,[]
5836,"('1699145566', 'total')",1,1699145566 total,[]
5837,"('1699133227', 'frn')",1,1699133227 frn,[]
5838,"('1699127772', 'frn')",1,1699127772 frn,[]
5839,"('17004394', '17004371')",1,17004394 17004371,[]
5840,"('1699125717', 'program')",1,1699125717 program,[]
5841,"('1699105507', 'frn')",1,1699105507 frn,[]
5842,"('1699105027', 'requesting')",1,1699105027 requesting,['Missing documentation needed to determine eligible service']
5843,"('1699105025', '1699105027')",1,1699105025 1699105027,['Missing documentation needed to determine eligible service']
5844,"('1699104380', 'maintenance')",1,1699104380 maintenance,[]
5845,"('1699104043', 'frn')",1,1699104043 frn,[]
5846,"('1699101541', 'new')",1,1699101541 new,[]
5847,"('1699099809', 'based')",1,1699099809 based,[]
5848,"('1699099035', 'dark')",1,1699099035 dark,[]
5849,"('1699095704', 'modified')",1,1699095704 modified,[]
5850,"('1699091260', 'maintenance')",1,1699091260 maintenance,[]
5851,"('1699091196', 'maintenance')",1,1699091196 maintenance,[]
5852,"('1699090436', 'new')",1,1699090436 new,[]
5853,"('1699083545', 'mr1')",1,1699083545 mr1,[]
5854,"('1699082857', '1699105025')",1,1699082857 1699105025,['Missing documentation needed to determine eligible service']
5855,"('1699081623', 'frn')",1,1699081623 frn,[]
5856,"('1699107068', 'modified')",1,1699107068 modified,[]
5857,"('1699108351', 'denied')",1,1699108351 denied,[]
5858,"('1699108358', 'denied')",1,1699108358 denied,[]
5859,"('1699114657', 'denied')",1,1699114657 denied,[]
5860,"('1699123625', 'meet')",1,1699123625 meet,[]
5861,"('1699122426', 'new')",1,1699122426 new,['Competitive Bidding Violation']
5862,"('1699117409', 'frn')",1,1699117409 frn,[]
5863,"('1699116109', 'frn')",1,1699116109 frn,[]
5864,"('1699116109', 'approved')",1,1699116109 approved,[]
5865,"('1699114671', 'denied')",1,1699114671 denied,[]
5866,"('1699112659', 'dark')",1,1699112659 dark,[]
5867,"('1699109448', 'duplicate')",1,1699109448 duplicate,[]
5868,"('1699111964', 'oc')",1,1699111964 oc,[]
5869,"('1699111964', 'dark')",1,1699111964 dark,[]
5870,"('1699111337', 'frn')",1,1699111337 frn,[]
5871,"('1699110998', '001')",1,1699110998 001,[]
5872,"('1699110653', '001')",1,1699110653 001,[]
5873,"('1699110419', 'maintenance')",1,1699110419 maintenance,[]
5874,"('1699145583', 'total')",1,1699145583 total,[]
5875,"('1699145584', 'total')",1,1699145584 total,[]
5876,"('1699145585', 'total')",1,1699145585 total,[]
5877,"('1699145586', 'total')",1,1699145586 total,[]
5878,"('17004360', '17004422')",1,17004360 17004422,[]
5879,"('17004339', '17004374')",1,17004339 17004374,[]
5880,"('17004335', '17004399')",1,17004335 17004399,[]
5881,"('17004334', '17004296')",1,17004334 17004296,[]
5882,"('17004332', '17004334')",1,17004332 17004334,[]
5883,"('17004331', '17004429')",1,17004331 17004429,[]
5884,"('17004330', '17004339')",1,17004330 17004339,[]
5885,"('17004328', '17004330')",1,17004328 17004330,[]
5886,"('17004327', '17004364')",1,17004327 17004364,[]
5887,"('17004326', '17004332')",1,17004326 17004332,[]
5888,"('17004325', '17004369')",1,17004325 17004369,[]
5889,"('17004322', '17004425')",1,17004322 17004425,[]
5890,"('17004321', '17004392')",1,17004321 17004392,[]
5891,"('17004319', '17004326')",1,17004319 17004326,[]
5892,"('17004316', '17004319')",1,17004316 17004319,[]
5893,"('17004361', '17004379')",1,17004361 17004379,[]
5894,"('17004363', '17004313')",1,17004363 17004313,[]
5895,"('17004364', '17004368')",1,17004364 17004368,[]
5896,"('17004381', '17004397')",1,17004381 17004397,[]
5897,"('17004392', '17004416')",1,17004392 17004416,[]
5898,"('17004389', '17004396')",1,17004389 17004396,[]
5899,"('17004387', '17004389')",1,17004387 17004389,[]
5900,"('17004385', '17004327')",1,17004385 17004327,[]
5901,"('17004383', '17004387')",1,17004383 17004387,[]
5902,"('17004382', '17004383')",1,17004382 17004383,[]
5903,"('17004380', '17004382')",1,17004380 17004382,[]
5904,"('17004368', '17004380')",1,17004368 17004380,[]
5905,"('17004379', '17004403')",1,17004379 17004403,[]
5906,"('17004378', '17004377')",1,17004378 17004377,[]
5907,"('17004377', '17004400')",1,17004377 17004400,[]
5908,"('17004374', '17004418')",1,17004374 17004418,[]
5909,"('17004371', '17004385')",1,17004371 17004385,[]
5910,"('17004369', '17004409')",1,17004369 17004409,[]
5911,"('17004313', '17004331')",1,17004313 17004331,[]
5912,"('17004312', '17004316')",1,17004312 17004316,[]
5913,"('17004311', '17004312')",1,17004311 17004312,[]
5914,"('17', '99')",1,17 99,[]
5915,"('17000407', 'ineligible')",1,17000407 ineligible,[]
5916,"('17000090', 'eligible')",1,17000090 eligible,[]
5917,"('170', '70')",1,170 70,[]
5918,"('170', '07')",1,170 07,[]
5919,"('17', 'month')",1,17 month,[]
5920,"('17', 'agree')",1,17 agree,[]
5921,"('17', '25')",1,17 25,['Competitive Bidding Violation']
5922,"('17000450', '17008877')",1,17000450 17008877,[]
5923,"('1699145592', 'total')",1,1699145592 total,[]
5924,"('1699145591', 'total')",1,1699145591 total,[]
5925,"('1699145590', 'total')",1,1699145590 total,[]
5926,"('1699145589', 'total')",1,1699145589 total,[]
5927,"('1699145588', 'total')",1,1699145588 total,[]
5928,"('1699145587', 'total')",1,1699145587 total,[]
5929,"('17000407', 'meet')",1,17000407 meet,[]
5930,"('17000500', '17000501')",1,17000500 17000501,[]
5931,"('17004310', '17004311')",1,17004310 17004311,[]
5932,"('17003689', 'centro')",1,17003689 centro,[]
5933,"('17004309', '17004360')",1,17004309 17004360,[]
5934,"('17004305', '17004310')",1,17004305 17004310,[]
5935,"('17004303', '17004305')",1,17004303 17004305,[]
5936,"('17004300', '17009148')",1,17004300 17009148,[]
5937,"('17004296', '17004325')",1,17004296 17004325,[]
5938,"('17003805', 'eligible')",1,17003805 eligible,[]
5939,"('17003608', 'eligible')",1,17003608 eligible,[]
5940,"('17000501', '17008083')",1,17000501 17008083,[]
5941,"('17003187', 'eligible')",1,17003187 eligible,[]
5942,"('17002244', 'meet')",1,17002244 meet,[]
5943,"('17002081', 'meet')",1,17002081 meet,['Applicant ineligible']
5944,"('17001375', 'eligible')",1,17001375 eligible,[]
5945,"('17001304', 'eligible')",1,17001304 eligible,['Applicant ineligible']
5946,"('17000596', 'eligible')",1,17000596 eligible,[]
5947,"('20', 'ineligible')",1,20 ineligible,[]
5948,"('20', 'lines')",1,20 lines,[]
5949,"('20', 'phase')",1,20 phase,[]
5950,"('384', '00')",1,384 00,['Competitive Bidding Violation']
5951,"('4', '20')",1,4 20,['Competitive Bidding Violation - 28 day failure']
5952,"('4', '13')",1,4 13,[]
5953,"('4', '11')",1,4 11,['Category 2 budget exceeded']
5954,"('4', '1')",1,4 1,"['470 / 471 Mismatch', 'Category 2 budget exceeded']"
5955,"('3mb', 'agree')",1,3mb agree,[]
5956,"('3gb', 'w')",1,3gb w,[]
5957,"('3gb', '22')",1,3gb 22,[]
5958,"('399520001238888', 'competitive')",1,399520001238888 competitive,[]
5959,"('399', '63')",1,399 63,[]
5960,"('399', '20')",1,399 20,[]
5961,"('398', '24')",1,398 24,[]
5962,"('3948', '36')",1,3948 36,[]
5963,"('392', '36')",1,392 36,[]
5964,"('39', 'mobile')",1,39 mobile,[]
5965,"('39', 'ineligible')",1,39 ineligible,[]
5966,"('4', '207')",1,4 207,[]
5967,"('4', '327')",1,4 327,[]
5968,"('4', '406')",1,4 406,[]
5969,"('4', 'phone')",1,4 phone,[]
5970,"('40', '80')",1,40 80,[]
5971,"('40', '3')",1,40 3,[]
5972,"('40', '13')",1,40 13,[]
5973,"('40', '00')",1,40 00,"['470 / 471 Mismatch', 'Ineligible Service']"
5974,"('40', '0')",1,40 0,"['470 / 471 Mismatch', 'Ineligible Service', 'Category 2 budget exceeded']"
5975,"('4', 'sites')",1,4 sites,[]
5976,"('4', '968')",1,4 968,[]
5977,"('4', '511')",1,4 511,[]
5978,"('4', '926')",1,4 926,[]
5979,"('4', '788')",1,4 788,[]
5980,"('4', '679')",1,4 679,[]
5981,"('4', '638')",1,4 638,[]
5982,"('4', '601')",1,4 601,[]
5983,"('4', '6')",1,4 6,['Category 2 budget exceeded']
5984,"('384', '80')",1,384 80,[]
5985,"('383', '88')",1,383 88,[]
5986,"('20', 'reflect')",1,20 reflect,[]
5987,"('383', '64')",1,383 64,[]
5988,"('335', '00')",1,335 00,[]
5989,"('334', '68')",1,334 68,[]
5990,"('330', '00')",1,330 00,[]
5991,"('33', '3')",1,33 3,[]
5992,"('327', '74')",1,327 74,[]
5993,"('327', '44')",1,327 44,[]
5994,"('320', '10')",1,320 10,[]
5995,"('32', 'service')",1,32 service,[]
5996,"('32', 'per')",1,32 per,[]
5997,"('32', '3')",1,32 3,[]
5998,"('314', '43')",1,314 43,[]
5999,"('313', '50')",1,313 50,[]
6000,"('310', '00')",1,310 00,[]
6001,"('31', 'lines')",1,31 lines,[]
6002,"('31', '50')",1,31 50,[]
6003,"('336', '17')",1,336 17,[]
6004,"('34', '560')",1,34 560,['Missing documentation needed to determine eligible service']
6005,"('35', 'month')",1,35 month,[]
6006,"('36', 'property')",1,36 property,[]
6007,"('375', 'month')",1,375 month,[]
6008,"('37', 'month')",1,37 month,[]
6009,"('37', 'agree')",1,37 agree,[]
6010,"('368', 'mo')",1,368 mo,[]
6011,"('368', '00')",1,368 00,['Ineligible Service']
6012,"('36', 'vendor')",1,36 vendor,[]
6013,"('36', 'months')",1,36 months,[]
6014,"('35', 'monthly')",1,35 monthly,[]
6015,"('36', 'asurion')",1,36 asurion,[]
6016,"('36', '5')",1,36 5,[]
6017,"('357', '604')",1,357 604,[]
6018,"('356', '40')",1,356 40,[]
6019,"('356', '28')",1,356 28,[]
6020,"('356', '00')",1,356 00,[]
6021,"('40', 'agree')",1,40 agree,[]
6022,"('40', 'ineligible')",1,40 ineligible,[]
6023,"('40', 'lines')",1,40 lines,[]
6024,"('400', '6')",1,400 6,[]
6025,"('471', 'contract')",1,471 contract,[]
6026,"('1699048312', 'new')",1,1699048312 new,['Voice - no discount remaining']
6027,"('1699051978', 'based')",1,1699051978 based,['Competitive Bidding Violation - price not primary factor']
6028,"('470', 'specific')",1,470 specific,[]
6029,"('470', 'self')",1,470 self,[]
6030,"('1699058593', 'frn')",1,1699058593 frn,['Ineligible Service']
6031,"('470', 'questions')",1,470 questions,[]
6032,"('470', 'provide')",1,470 provide,[]
6033,"('470', 'old')",1,470 old,['Missing documentation to determin competitive bidding']
6034,"('1699062961', 'frn')",1,1699062961 frn,[]
6035,"('470', 'matches')",1,470 matches,['Competitive Bidding Violation - specified vendor in 470']
6036,"('470', 'low')",1,470 low,[]
6037,"('470', 'issued')",1,470 issued,[]
6038,"('470', 'correct')",1,470 correct,[]
6039,"('470', 'also')",1,470 also,[]
6040,"('471', 'dr2')",1,471 dr2,[]
6041,"('471', 'funding')",1,471 funding,[]
6042,"('471', 'maintenance')",1,471 maintenance,[]
6043,"('485', '21per')",1,485 21per,['Competitive Bidding Violation']
6044,"('499', '80')",1,499 80,[]
6045,"('496', 'month')",1,496 month,[]
6046,"('490', '5940')",1,490 5940,[]
6047,"('49', 'additional')",1,49 additional,['Competitive Bidding Violation']
6048,"('49', '95')",1,49 95,[]
6049,"('49', '356')",1,49 356,[]
6050,"('485', '21')",1,485 21,['Competitive Bidding Violation']
6051,"('471', 'must')",1,471 must,[]
6052,"('48', 'reflect')",1,48 reflect,[]
6053,"('48', 'lines')",1,48 lines,[]
6054,"('48', '753')",1,48 753,[]
6055,"('471', 'vendor')",1,471 vendor,[]
6056,"('471', 'tariff')",1,471 tariff,[]
6057,"('471', 'program')",1,471 program,[]
6058,"('470', '520750001036957')",1,470 520750001036957,[]
6059,"('470', '426480001240887')",1,470 426480001240887,[]
6060,"('470', '399520001238888')",1,470 399520001238888,[]
6061,"('41', 'agree')",1,41 agree,[]
6062,"('4250', '00')",1,4250 00,[]
6063,"('425', '76')",1,425 76,[]
6064,"('4200', '00')",1,4200 00,[]
6065,"('418', '02')",1,418 02,[]
6066,"('415', '80')",1,415 80,[]
6067,"('411', '84')",1,411 84,['Missing documentation needed to determine eligible service']
6068,"('41', '40')",1,41 40,[]
6069,"('429', '98')",1,429 98,[]
6070,"('408', '48')",1,408 48,[]
6071,"('408', '24')",1,408 24,[]
6072,"('408', '00')",1,408 00,[]
6073,"('406', '33')",1,406 33,[]
6074,"('400', 'international')",1,400 international,[]
6075,"('400', 'data')",1,400 data,[]
6076,"('426480001240887', 'established')",1,426480001240887 established,[]
6077,"('43', '740')",1,43 740,[]
6078,"('470', '19')",1,470 19,[]
6079,"('46', 'monthly')",1,46 monthly,[]
6080,"('1699070795', 'new')",1,1699070795 new,[]
6081,"('470', '160024673')",1,470 160024673,[]
6082,"('47', 'month')",1,47 month,[]
6083,"('466', '88')",1,466 88,[]
6084,"('465', '68')",1,465 68,[]
6085,"('46', 'prorated')",1,46 prorated,['Competitive Bidding Violation']
6086,"('457', '60')",1,457 60,[]
6087,"('43', 'mo')",1,43 mo,[]
6088,"('45', 'per')",1,45 per,[]
6089,"('45', 'agree')",1,45 agree,[]
6090,"('449', '90')",1,449 90,[]
6091,"('440', 'per')",1,440 per,[]
6092,"('44', 'per')",1,44 per,[]
6093,"('44', 'lines')",1,44 lines,[]
6094,"('31', '465')",1,31 465,[]
6095,"('31', '2017')",1,31 2017,[]
6096,"('31', '16')",1,31 16,[]
6097,"('240', '00')",1,240 00,['470 / 471 Mismatch']
6098,"('22012', 'croom')",1,22012 croom,[]
6099,"('22', '384')",1,22 384,[]
6100,"('22', '26')",1,22 26,[]
6101,"('21per', 'month')",1,21per month,['Competitive Bidding Violation']
6102,"('215', '99')",1,215 99,[]
6103,"('215', '88')",1,215 88,[]
6104,"('21', 'wireless')",1,21 wireless,[]
6105,"('21', 'products')",1,21 products,[]
6106,"('21', 'monthly')",1,21 monthly,[]
6107,"('21', 'lines')",1,21 lines,[]
6108,"('21', 'line')",1,21 line,[]
6109,"('21', 'dr2')",1,21 dr2,[]
6110,"('21', 'changed')",1,21 changed,[]
6111,"('21', '947')",1,21 947,[]
6112,"('21', '36')",1,21 36,[]
6113,"('221005', 'electronic')",1,221005 electronic,[]
6114,"('223', '64')",1,223 64,[]
6115,"('22321', 'croom')",1,22321 croom,[]
6116,"('238', '80')",1,238 80,[]
6117,"('24', 'remove')",1,24 remove,[]
6118,"('24', 'per')",1,24 per,[]
6119,"('24', 'agree')",1,24 agree,[]
6120,"('24', '37')",1,24 37,[]
6121,"('24', '2017')",1,24 2017,[]
6122,"('239', '16')",1,239 16,[]
6123,"('231302', 'az')",1,231302 az,[]
6124,"('2269', '03')",1,2269 03,[]
6125,"('23', 'agree')",1,23 agree,[]
6126,"('23', '952')",1,23 952,[]
6127,"('23', '2012')",1,23 2012,[]
6128,"('23', '040')",1,23 040,[]
6129,"('227', '90')",1,227 90,[]
6130,"('227', '55')",1,227 55,[]
6131,"('21', '2015')",1,21 2015,[]
6132,"('208', '08')",1,208 08,[]
6133,"('207', '32')",1,207 32,[]
6134,"('201', '50')",1,201 50,[]
6135,"('2015', 'uploaded')",1,2015 uploaded,[]
6136,"('1699073859', 'modified')",1,1699073859 modified,[]
6137,"('2015', '5')",1,2015 5,['Competitive Bidding Violation - 28 day failure']
6138,"('2015', '11')",1,2015 11,[]
6139,"('2015', '1')",1,2015 1,[]
6140,"('2010', '2')",1,2010 2,[]
6141,"('200', 'month')",1,200 month,['Competitive Bidding Violation - price not primary factor']
6142,"('2016', '2')",1,2016 2,[]
6143,"('200', '7')",1,200 7,[]
6144,"('200', '400')",1,200 400,[]
6145,"('20', 'year')",1,20 year,[]
6146,"('20', 'voice')",1,20 voice,[]
6147,"('20', 'removed')",1,20 removed,[]
6148,"('20', 'remove')",1,20 remove,[]
6149,"('2016', '12')",1,2016 12,[]
6150,"('2016', '4')",1,2016 4,[]
6151,"('203', '68')",1,203 68,[]
6152,"('2017', '12')",1,2017 12,[]
6153,"('2025', '00')",1,2025 00,[]
6154,"('2019', 'agree')",1,2019 agree,[]
6155,"('2017', 'provided')",1,2017 provided,[]
6156,"('2017', 'contract')",1,2017 contract,[]
6157,"('2017', 'based')",1,2017 based,[]
6158,"('2017', '6')",1,2017 6,[]
6159,"('2017', '01')",1,2017 01,[]
6160,"('2016', '5')",1,2016 5,[]
6161,"('2016', 'thus')",1,2016 thus,['No signed contract in place']
6162,"('2016', 'provided')",1,2016 provided,[]
6163,"('2016', 'initial')",1,2016 initial,[]
6164,"('2016', 'executed')",1,2016 executed,['No signed contract in place']
6165,"('2016', 'considered')",1,2016 considered,[]
6166,"('2016', '8')",1,2016 8,[]
6167,"('24', 'service')",1,24 service,[]
6168,"('2480', '50')",1,2480 50,[]
6169,"('309', '13')",1,309 13,['Competitive Bidding Violation']
6170,"('25', '100mb')",1,25 100mb,[]
6171,"('3', '954')",1,3 954,[]
6172,"('3', '932')",1,3 932,[]
6173,"('3', '645')",1,3 645,['Missing documentation needed to determine eligible service']
6174,"('3', '375')",1,3 375,[]
6175,"('3', '360')",1,3 360,[]
6176,"('3', '303')",1,3 303,[]
6177,"('3', '240')",1,3 240,['470 / 471 Mismatch']
6178,"('3', '2016')",1,3 2016,"['Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure']"
6179,"('3', '137')",1,3 137,[]
6180,"('3', '104')",1,3 104,[]
6181,"('3', '10')",1,3 10,[]
6182,"('2mb', '25mb')",1,2mb 25mb,[]
6183,"('2gb', 'data')",1,2gb data,[]
6184,"('2g', 'amp')",1,2g amp,[]
6185,"('2fxs', 'ineligible')",1,2fxs ineligible,[]
6186,"('3', '99')",1,3 99,['Competitive Bidding Violation']
6187,"('3', 'agree')",1,3 agree,[]
6188,"('3', 'connection')",1,3 connection,['Missing documentation needed to determine eligible service']
6189,"('30', 'month')",1,30 month,[]
6190,"('308', '00')",1,308 00,[]
6191,"('304', 'lines')",1,304 lines,[]
6192,"('303', '40')",1,303 40,[]
6193,"('303', '00')",1,303 00,[]
6194,"('300', 'w')",1,300 w,[]
6195,"('300', 'per')",1,300 per,[]
6196,"('30', 'android')",1,30 android,[]
6197,"('3', 'data')",1,3 data,['Missing documentation needed to determine eligible service']
6198,"('30', 'agree')",1,30 agree,[]
6199,"('30', '2021')",1,30 2021,[]
6200,"('30', '2016')",1,30 2016,[]
6201,"('30', '072')",1,30 072,[]
6202,"('3', 'services')",1,3 services,[]
6203,"('3', 'gbps')",1,3 gbps,[]
6204,"('294', '43')",1,294 43,[]
6205,"('29', '39')",1,29 39,[]
6206,"('284', '1')",1,284 1,[]
6207,"('250', 'message')",1,250 message,[]
6208,"('26', '76')",1,26 76,[]
6209,"('25mb', '3mb')",1,25mb 3mb,[]
6210,"('252', '60')",1,252 60,[]
6211,"('252', '54')",1,252 54,[]
6212,"('251', '49')",1,251 49,['Competitive Bidding Violation']
6213,"('251', '37')",1,251 37,[]
6214,"('250', '92')",1,250 92,[]
6215,"('268', '53')",1,268 53,[]
6216,"('25', 'voice')",1,25 voice,[]
6217,"('25', 'points')",1,25 points,[]
6218,"('25', 'monthly')",1,25 monthly,[]
6219,"('25', 'billing')",1,25 billing,['Competitive Bidding Violation']
6220,"('25', 'agree')",1,25 agree,[]
6221,"('25', '46')",1,25 46,[]
6222,"('266', '96')",1,266 96,[]
6223,"('27', '720')",1,27 720,[]
6224,"('284', '00')",1,284 00,[]
6225,"('28', '2016')",1,28 2016,[]
6226,"('28', 'service')",1,28 service,[]
6227,"('28', 'agree')",1,28 agree,[]
6228,"('28', '599')",1,28 599,[]
6229,"('28', '383')",1,28 383,[]
6230,"('28', '3')",1,28 3,[]
6231,"('28', '2017')",1,28 2017,[]
6232,"('28', '15')",1,28 15,[]
6233,"('27', '95')",1,27 95,[]
6234,"('276', '41')",1,276 41,[]
6235,"('275', '75')",1,275 75,[]
6236,"('273', '63')",1,273 63,[]
6237,"('273', '03')",1,273 03,[]
6238,"('272', 'remove')",1,272 remove,[]
6239,"('272', '28')",1,272 28,[]
6240,"('charges', '927')",1,charges 927,[]
6241,"('charges', 'associated')",1,charges associated,[]
6242,"('mr1', 'local')",1,mr1 local,[]
6243,"('information', 'arizona')",1,information arizona,[]
6244,"('103', 'agree')",1,103 agree,[]
6245,"('104', '64')",1,104 64,[]
6246,"('inquiry', 'response')",1,inquiry response,[]
6247,"('inlt', 'tlk')",1,inlt tlk,[]
6248,"('initial', 'term')",1,initial term,[]
6249,"('information', 'system')",1,information system,[]
6250,"('information', 'service')",1,information service,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor']"
6251,"('108', '57')",1,108 57,[]
6252,"('information', 'regarding')",1,information regarding,[]
6253,"('information', 'provided')",1,information provided,[]
6254,"('10gb', 'texting')",1,10gb texting,[]
6255,"('information', 'excess')",1,information excess,['Fiber review failure']
6256,"('information', 'entity')",1,information entity,[]
6257,"('information', 'e')",1,information e,['Fiber review failure']
6258,"('11', '10')",1,11 10,[]
6259,"('instant', 'messaging')",1,instant messaging,[]
6260,"('institutions', 'always')",1,institutions always,[]
6261,"('instruction', 'program')",1,instruction program,[]
6262,"('100mbps', '59')",1,100mbps 59,[]
6263,"('internet', 'traffic')",1,internet traffic,[]
6264,"('internet', 'tier')",1,internet tier,[]
6265,"('internet', 'therefore')",1,internet therefore,[]
6266,"('internet', 'equipment')",1,internet equipment,[]
6267,"('internet', 'email')",1,internet email,[]
6268,"('internet', 'dsl')",1,internet dsl,[]
6269,"('international', 'value')",1,international value,[]
6270,"('instructional', 'center')",1,instructional center,[]
6271,"('international', 'high')",1,international high,[]
6272,"('internal', 'invoice')",1,internal invoice,[]
6273,"('internal', 'broadband')",1,internal broadband,[]
6274,"('102', '60')",1,102 60,[]
6275,"('intended', 'use')",1,intended use,['Fiber review failure']
6276,"('103', '309')",1,103 309,['Competitive Bidding Violation']
6277,"('11', '16')",1,11 16,[]
6278,"('information', 'anthony')",1,information anthony,[]
6279,"('includes', 'unknown')",1,includes unknown,[]
6280,"('information', 'addition')",1,information addition,[]
6281,"('11', '28')",1,11 28,[]
6282,"('11', '300')",1,11 300,[]
6283,"('11', 'agree')",1,11 agree,[]
6284,"('indicator', 'frn')",1,indicator frn,[]
6285,"('indicating', '“long')",1,indicating “long,[]
6286,"('indicates', 'state')",1,indicates state,[]
6287,"('indicated', '“proposals')",1,indicated “proposals,[]
6288,"('indicated', 'response')",1,indicated response,[]
6289,"('indicated', 'posted')",1,indicated posted,[]
6290,"('indicated', 'longer')",1,indicated longer,[]
6291,"('indicated', 'additional')",1,indicated additional,[]
6292,"('incorrect', 'document')",1,incorrect document,[]
6293,"('inclusive', 'funding')",1,inclusive funding,['No signed contract in place']
6294,"('including', '“or')",1,including “or,[]
6295,"('including', 'words')",1,including words,[]
6296,"('ineligible', '1')",1,ineligible 1,[]
6297,"('ineligible', '284')",1,ineligible 284,[]
6298,"('ineligible', '3')",1,ineligible 3,[]
6299,"('11', '180')",1,11 180,[]
6300,"('information', '1')",1,information 1,['Competitive Bidding Violation']
6301,"('ineligibles', 'ineligible')",1,ineligibles ineligible,[]
6302,"('ineligibles', 'dr2')",1,ineligibles dr2,[]
6303,"('ineligibles', 'agree')",1,ineligibles agree,[]
6304,"('ineligibles', '294')",1,ineligibles 294,[]
6305,"('ineligibles', '26')",1,ineligibles 26,[]
6306,"('11', '196')",1,11 196,[]
6307,"('ineligible', 'amount')",1,ineligible amount,[]
6308,"('ineligible', 'text')",1,ineligible text,[]
6309,"('11', '2016')",1,11 2016,[]
6310,"('ineligible', 'review')",1,ineligible review,[]
6311,"('11', '203')",1,11 203,['Category 2 budget exceeded']
6312,"('ineligible', 'cost')",1,ineligible cost,[]
6313,"('ineligible', 'charges')",1,ineligible charges,[]
6314,"('interstate', 'diversity')",1,interstate diversity,[]
6315,"('invoice', 'phone')",1,invoice phone,[]
6316,"('invoice', 'provided')",1,invoice provided,['Ineligible Service']
6317,"('invoice', 'required')",1,invoice required,[]
6318,"('item', 'inquiry')",1,item inquiry,[]
6319,"('item', 'illegibility')",1,item illegibility,[]
6320,"('item', 'frn')",1,item frn,[]
6321,"('item', 'form')",1,item form,[]
6322,"('item', 'everything')",1,item everything,[]
